Latitude,Longitude,Elevation
53.26851000,-9.08886000,44.0
53.26849000,-9.08880000,44.0
53.26841000,-9.08887000,44.0
53.26839000,-9.08891000,44.0
53.26836000,-9.08896000,44.0
53.26832000,-9.08887000,43.0
53.26829000,-9.08878000,43.0
53.26824000,-9.08846000,42.0
53.26821000,-9.08834000,41.0
53.26814000,-9.08827000,41.0
53.26814000,-9.08831000,41.0
53.26813000,-9.08836000,41.0
53.26811000,-9.08840000,42.0
53.26809000,-9.08845000,42.0
53.26808000,-9.08847000,42.0
53.26806000,-9.08850000,42.0
53.26803000,-9.08852000,42.0
53.26801000,-9.08854000,42.0
53.26801000,-9.08851000,42.0
53.26796000,-9.08842000,41.0
53.26790000,-9.08832000,41.0
53.26785000,-9.08826000,40.0
53.26781000,-9.08820000,40.0
53.26777000,-9.08817000,40.0
53.26770000,-9.08818000,40.0
53.26759000,-9.08823000,40.0
53.26750000,-9.08827000,40.0
53.26744000,-9.08828000,40.0
53.26744000,-9.08823000,40.0
53.26742000,-9.08811000,40.0
53.26738000,-9.08813000,40.0
53.26742000,-9.08811000,40.0
53.26731000,-9.08817000,40.0
53.26709000,-9.08828000,39.0
53.26699000,-9.08830000,38.0
53.26690000,-9.08829000,36.0
53.26664000,-9.08823000,31.0
53.26638000,-9.08818000,27.0
53.26628000,-9.08816000,27.0
53.26623000,-9.08816000,27.0
53.26592000,-9.08813000,26.0
53.26567000,-9.08811000,25.0
53.26563000,-9.08811000,25.0
53.26522000,-9.08812000,23.0
53.26495000,-9.08812000,22.0
53.26487000,-9.08813000,21.0
53.26471000,-9.08815000,20.0
53.26470000,-9.08815000,20.0
53.26456000,-9.08819000,20.0
53.26455000,-9.08819000,20.0
53.26440000,-9.08825000,19.0
53.26436000,-9.08827000,19.0
53.26423000,-9.08835000,18.0
53.26421000,-9.08836000,18.0
53.26406000,-9.08847000,17.0
53.26401000,-9.08850000,17.0
53.26399000,-9.08852000,17.0
53.26391000,-9.08858000,17.0
53.26386000,-9.08862000,17.0
53.26370000,-9.08875000,17.0
53.26341000,-9.08900000,16.0
53.26336000,-9.08903000,16.0
53.26310000,-9.08924000,16.0
53.26288000,-9.08941000,17.0
53.26282000,-9.08946000,17.0
53.26279000,-9.08947000,17.0
53.26260000,-9.08958000,18.0
53.26255000,-9.08961000,18.0
53.26253000,-9.08962000,18.0
53.26236000,-9.08968000,17.0
53.26235000,-9.08968000,17.0
53.26231000,-9.08970000,17.0
53.26228000,-9.08971000,17.0
53.26214000,-9.08975000,16.0
53.26207000,-9.08977000,15.0
53.26200000,-9.08979000,15.0
53.26118000,-9.08995000,15.0
53.26106000,-9.08997000,16.0
53.26101000,-9.08998000,16.0
53.25915000,-9.09035000,13.0
53.25885000,-9.09043000,12.0
53.25865000,-9.09048000,12.0
53.25801000,-9.09069000,9.0
53.25782000,-9.09074000,9.0
53.25769000,-9.09077000,8.0
53.25765000,-9.09078000,8.0
53.25757000,-9.09078000,8.0
53.25749000,-9.09079000,7.0
53.25748000,-9.09079000,7.0
53.25744000,-9.09077000,7.0
53.25741000,-9.09069000,7.0
53.25740000,-9.09063000,7.0
53.25747000,-9.08979000,6.0
53.25748000,-9.08959000,6.0
53.25757000,-9.08879000,6.0
53.25757000,-9.08875000,6.0
53.25762000,-9.08824000,5.0
53.25764000,-9.08804000,6.0
53.25769000,-9.08760000,7.0
53.25770000,-9.08742000,6.0
53.25776000,-9.08680000,6.0
53.25778000,-9.08656000,6.0
53.25788000,-9.08567000,6.0
53.25791000,-9.08546000,6.0
53.25793000,-9.08530000,6.0
53.25796000,-9.08511000,6.0
53.25812000,-9.08430000,6.0
53.25814000,-9.08416000,5.0
53.25823000,-9.08373000,5.0
53.25828000,-9.08335000,4.0
53.25830000,-9.08314000,4.0
53.25832000,-9.08283000,4.0
53.25832000,-9.08241000,4.0
53.25829000,-9.08189000,3.0
53.25827000,-9.08125000,3.0
53.25826000,-9.08095000,3.0
53.25825000,-9.08066000,4.0
53.25824000,-9.08019000,6.0
53.25823000,-9.07982000,7.0
53.25823000,-9.07978000,7.0
53.25825000,-9.07957000,7.0
53.25827000,-9.07941000,7.0
53.25840000,-9.07900000,7.0
53.25851000,-9.07868000,7.0
53.25855000,-9.07859000,7.0
53.25859000,-9.07848000,7.0
53.25877000,-9.07806000,7.0
53.25908000,-9.07731000,5.0
53.25913000,-9.07719000,5.0
53.25925000,-9.07695000,4.0
53.25926000,-9.07684000,5.0
53.25928000,-9.07676000,5.0
53.25933000,-9.07662000,5.0
53.25935000,-9.07641000,6.0
53.25932000,-9.07636000,6.0
53.25931000,-9.07630000,6.0
53.25932000,-9.07623000,7.0
53.25932000,-9.07620000,7.0
53.25932000,-9.07604000,7.0
53.25931000,-9.07566000,7.0
53.25927000,-9.07536000,6.0
53.25927000,-9.07524000,5.0
53.25928000,-9.07495000,4.0
53.25935000,-9.07457000,5.0
53.25944000,-9.07430000,5.0
53.25959000,-9.07391000,6.0
53.25983000,-9.07345000,7.0
53.26005000,-9.07309000,6.0
53.26041000,-9.07263000,4.0
53.26062000,-9.07241000,4.0
53.26106000,-9.07197000,5.0
53.26194000,-9.07106000,6.0
53.26282000,-9.07015000,5.0
53.26301000,-9.06996000,5.0
53.26328000,-9.06965000,6.0
53.26339000,-9.06951000,7.0
53.26358000,-9.06924000,7.0
53.26353000,-9.06916000,7.0
53.26351000,-9.06912000,7.0
53.26348000,-9.06918000,7.0
53.26322000,-9.06950000,6.0
53.26313000,-9.06967000,6.0
53.26262000,-9.07020000,5.0
53.26211000,-9.07072000,6.0
53.26119000,-9.07169000,5.0
53.26061000,-9.07229000,4.0
53.26031000,-9.07261000,5.0
53.26019000,-9.07275000,5.0
53.26031000,-9.07261000,5.0
53.26061000,-9.07229000,4.0
53.26119000,-9.07169000,5.0
53.26211000,-9.07072000,6.0
53.26262000,-9.07020000,5.0
53.26313000,-9.06967000,6.0
53.26322000,-9.06950000,6.0
53.26329000,-9.06927000,6.0
53.26333000,-9.06912000,7.0
53.26333000,-9.06886000,7.0
53.26329000,-9.06815000,5.0
53.26328000,-9.06788000,4.0
53.26325000,-9.06723000,4.0
53.26313000,-9.06492000,4.0
53.26311000,-9.06425000,4.0
53.26310000,-9.06412000,5.0
53.26309000,-9.06396000,5.0
53.26308000,-9.06374000,5.0
53.26308000,-9.06355000,4.0
53.26310000,-9.06335000,3.0
53.26311000,-9.06315000,3.0
53.26313000,-9.06292000,2.0
53.26316000,-9.06272000,2.0
53.26319000,-9.06255000,2.0
53.26313000,-9.06252000,2.0
53.26317000,-9.06223000,2.0
53.26321000,-9.06185000,2.0
53.26322000,-9.06166000,2.0
53.26322000,-9.06136000,3.0
53.26320000,-9.06089000,4.0
53.26317000,-9.06050000,6.0
53.26315000,-9.06013000,6.0
53.26310000,-9.05964000,5.0
53.26309000,-9.05948000,5.0
53.26307000,-9.05926000,5.0
53.26306000,-9.05899000,5.0
53.26307000,-9.05864000,5.0
53.26308000,-9.05850000,4.0
53.26311000,-9.05845000,4.0
53.26316000,-9.05852000,5.0
53.26319000,-9.05831000,4.0
53.26317000,-9.05821000,4.0
53.26316000,-9.05779000,4.0
53.26315000,-9.05734000,4.0
53.26319000,-9.05696000,4.0
53.26325000,-9.05668000,4.0
53.26329000,-9.05659000,4.0
53.26331000,-9.05654000,4.0
53.26326000,-9.05618000,4.0
53.26328000,-9.05602000,4.0
53.26334000,-9.05576000,4.0
53.26339000,-9.05552000,4.0
53.26343000,-9.05527000,4.0
53.26350000,-9.05472000,3.0
53.26358000,-9.05425000,4.0
53.26379000,-9.05359000,3.0
53.26380000,-9.05356000,3.0
53.26397000,-9.05296000,3.0
53.26409000,-9.05269000,3.0
53.26435000,-9.05228000,3.0
53.26479000,-9.05176000,4.0
53.26518000,-9.05132000,5.0
53.26570000,-9.05077000,5.0
53.26597000,-9.05050000,5.0
53.26629000,-9.05028000,6.0
53.26673000,-9.05012000,5.0
53.26681000,-9.05008000,5.0
53.26687000,-9.05010000,5.0
53.26701000,-9.05013000,4.0
53.26705000,-9.05054000,2.0
53.26721000,-9.05254000,0.0
53.26723000,-9.05270000,1.0
53.26724000,-9.05285000,1.0
53.26728000,-9.05336000,1.0
53.26731000,-9.05386000,2.0
53.26733000,-9.05404000,3.0
53.26734000,-9.05410000,3.0
53.26735000,-9.05417000,3.0
53.26735000,-9.05428000,3.0
53.26735000,-9.05429000,3.0
53.26735000,-9.05446000,4.0
53.26745000,-9.05448000,4.0
53.26755000,-9.05453000,3.0
53.26763000,-9.05457000,3.0
53.26771000,-9.05463000,3.0
53.26781000,-9.05472000,3.0
53.26793000,-9.05482000,3.0
53.26825000,-9.05513000,5.0
53.26851000,-9.05537000,6.0
53.26854000,-9.05541000,6.0
53.26860000,-9.05547000,6.0
53.26877000,-9.05564000,5.0
53.26933000,-9.05620000,4.0
53.26948000,-9.05637000,5.0
53.26962000,-9.05654000,5.0
53.26965000,-9.05657000,5.0
53.26955000,-9.05672000,5.0
53.26965000,-9.05657000,5.0
53.26971000,-9.05647000,5.0
53.26998000,-9.05585000,6.0
53.27001000,-9.05578000,5.0
53.27003000,-9.05574000,5.0
53.27030000,-9.05510000,5.0
53.27031000,-9.05508000,5.0
53.27033000,-9.05504000,6.0
53.27036000,-9.05499000,6.0
53.27037000,-9.05495000,6.0
53.27039000,-9.05485000,6.0
53.27043000,-9.05458000,6.0
53.27047000,-9.05458000,6.0
53.27050000,-9.05458000,6.0
53.27050000,-9.05438000,7.0
53.27050000,-9.05425000,7.0
53.27046000,-9.05389000,8.0
53.27069000,-9.05344000,9.0
53.27079000,-9.05327000,9.0
53.27080000,-9.05324000,9.0
53.27103000,-9.05360000,10.0
53.27106000,-9.05366000,10.0
53.27120000,-9.05400000,10.0
53.27147000,-9.05381000,11.0
53.27166000,-9.05365000,11.0
53.27176000,-9.05356000,12.0
53.27204000,-9.05344000,12.0
53.27215000,-9.05339000,12.0
53.27230000,-9.05333000,13.0
53.27232000,-9.05331000,13.0
53.27240000,-9.05326000,13.0
53.27246000,-9.05322000,13.0
53.27251000,-9.05313000,13.0
53.27252000,-9.05311000,13.0
53.27261000,-9.05294000,13.0
53.27277000,-9.05262000,13.0
53.27315000,-9.05206000,11.0
53.27349000,-9.05158000,14.0
53.27356000,-9.05149000,14.0
53.27377000,-9.05133000,15.0
53.27388000,-9.05129000,15.0
53.27393000,-9.05128000,15.0
53.27399000,-9.05125000,15.0
53.27399000,-9.05121000,15.0
53.27409000,-9.05102000,16.0
53.27434000,-9.05065000,16.0
53.27437000,-9.05063000,16.0
53.27439000,-9.05061000,16.0
53.27445000,-9.05057000,16.0
53.27434000,-9.05131000,15.0
53.27422000,-9.05204000,14.0
53.27411000,-9.05278000,11.0
53.27399000,-9.05352000,8.0
53.27388000,-9.05425000,7.0
53.27376000,-9.05499000,6.0
53.27365000,-9.05572000,5.0
53.27354000,-9.05646000,8.0
53.27342000,-9.05720000,11.0
53.27331000,-9.05793000,9.0
53.27319000,-9.05867000,8.0
53.27308000,-9.05941000,9.0
53.27297000,-9.06014000,8.0
53.27285000,-9.06088000,9.0
53.27274000,-9.06162000,9.0
53.27262000,-9.06235000,10.0
53.27251000,-9.06309000,11.0
53.27239000,-9.06382000,12.0
53.27228000,-9.06456000,15.0
53.27217000,-9.06530000,15.0
53.27205000,-9.06603000,16.0
53.27194000,-9.06677000,19.0
53.27182000,-9.06751000,18.0
53.27171000,-9.06824000,17.0
53.27159000,-9.06898000,20.0
53.27148000,-9.06972000,20.0
53.27137000,-9.07045000,21.0
53.27125000,-9.07119000,24.0
53.27114000,-9.07192000,24.0
53.27102000,-9.07266000,25.0
53.27091000,-9.07340000,26.0
53.27079000,-9.07413000,26.0
53.27068000,-9.07487000,25.0
53.27057000,-9.07561000,24.0
